sport,timestamp,enhanced_avg_speed,avg_speed,avg_cadence,total_distance,avg_temperature,avg_heart_rate,year,month,day,date,miles_per_hour,mile_pace,steps_per_minute
running,2023-07-27T04:03:05Z,2.823,65.535,74,479.4,127,153,2023,7,27,2023-7-27,6.314870328,9.501382749533477,148
running,2023-07-27T04:06:49Z,3.674,65.535,79,820.73,127,165,2023,7,27,2023-7-27,8.218502864,7.300599755561514,158
running,2023-07-27T04:13:47Z,2.418,65.535,70,946.32,127,136,2023,7,27,2023-7-27,5.408911248000001,11.0928054185,140
cycling,2023-07-28T00:45:14Z,2.198,65.535,255,8046.72,127,122,2023,7,28,2023-7-28,4.916785328,12.203095314801185,510
cycling,2023-07-28T01:05:13Z,3.409,65.535,255,4016.7,127,138,2023,7,28,2023-7-28,7.625714824,7.8681148436295105,510
cycling,2023-07-28T17:21:49Z,3.16,65.535,255,8046.72,127,134,2023,7,28,2023-7-28,7.06871776,8.488102374029431,510
cycling,2023-07-28T17:48:15Z,2.459,65.535,255,1676.5,127,142,2023,7,28,2023-7-28,5.500625624,10.907850143120374,510
cycling,2023-07-28T18:48:00Z,3.058,65.535,255,4157.63,127,112,2023,7,28,2023-7-28,6.840550287999999,8.771224166753761,510
cycling,2023-07-29T19:11:02Z,2.733,65.535,255,8046.72,127,140,2023,7,29,2023-7-29,6.1135460880000005,9.814271314282108,510
cycling,2023-07-29T19:14:57Z,4.48,65.535,255,1038.77,127,132,2023,7,29,2023-7-29,10.02147328,5.98714363882433,510
cycling,2023-07-29T23:06:30Z,2.719,65.535,255,8046.72,127,147,2023,7,29,2023-7-29,6.0822289839999994,9.86480452443288,510
cycling,2023-07-29T23:15:38Z,5.15,65.535,255,2806.11,127,154,2023,7,29,2023-7-29,11.520220400000001,5.208233689695728,510
cycling,2023-07-30T18:59:42Z,2.464,65.535,255,8046.72,127,146,2023,7,30,2023-7-30,5.511810304,10.885715706953329,510
cycling,2023-07-30T19:06:58Z,3.627,65.535,255,1536.02,127,137,2023,7,30,2023-7-30,8.113366872,7.395203612333334,510
cycling,2023-07-30T20:11:48Z,5.541,65.535,255,3735.98,127,121,2023,7,30,2023-7-30,12.394862376,4.840715304445587,510
cycling,2023-08-02T22:55:47Z,1.739,65.535,255,8046.72,127,135,2023,8,2,2023-8-2,3.890031704,15.424038816522714,510
cycling,2023-08-02T23:03:18Z,1.38,65.535,255,618.38,127,136,2023,8,2,2023-8-2,3.08697168,19.436524276763045,510
running,2023-08-03T03:45:12Z,2.747,65.535,74,1609.34,127,125,2023,8,3,2023-8-3,6.144863192,9.764253185996724,148
running,2023-08-03T03:55:48Z,2.673,65.535,74,1609.34,127,131,2023,8,3,2023-8-3,5.979329928,10.034569211347923,148
running,2023-08-03T04:05:55Z,2.651,65.535,74,1609.34,127,123,2023,8,3,2023-8-3,5.9301173359999995,10.11784364463712,148
running,2023-08-03T04:11:18Z,2.836,65.535,75,907.52,127,130,2023,8,3,2023-8-3,6.343950496,9.45782916147144,150
running,2023-08-03T17:24:12Z,2.959,65.535,5,1609.34,127,123,2023,8,3,2023-8-3,6.6190936240000005,9.064685198355187,10
running,2023-08-03T17:35:56Z,2.285,65.535,7,1609.34,127,136,2023,8,3,2023-8-3,5.11139876,11.738469803909409,14
running,2023-08-03T17:50:06Z,1.895,65.535,3,1609.34,127,135,2023,8,3,2023-8-3,4.23899372,14.15430263954248,6
running,2023-08-03T18:09:14Z,1.402,65.535,3,1609.34,127,115,2023,8,3,2023-8-3,3.136184272,19.1315288886826,6
running,2023-08-03T18:24:29Z,1.759,65.535,6,1609.34,127,121,2023,8,3,2023-8-3,3.934770424,15.24866600450995,12
running,2023-08-03T18:50:56Z,1.014,65.535,3,1609.34,127,120,2023,8,3,2023-8-3,2.2682531040000002,26.452074459499997,6
running,2023-08-03T19:04:10Z,2.026,65.535,4,1609.34,127,132,2023,8,3,2023-8-3,4.532032335999999,13.239093535011355,8
running,2023-08-03T19:10:10Z,3.569,65.535,3,1269.63,127,126,2023,8,3,2023-8-3,7.983624584,7.515383441281312,6
running,2023-08-04T18:52:37Z,3.304,65.535,75,1609.34,127,147,2023,8,4,2023-8-4,7.390836544,8.118160866202482,150
running,2023-08-04T18:57:53Z,2.98,65.535,75,942.33,127,136,2023,8,4,2023-8-4,6.66606928,9.00080654427282,150
running,2023-08-04T19:04:47Z,3.012,65.535,75,1245.64,127,137,2023,8,4,2023-8-4,6.737651232,8.905180445528885,150
running,2023-08-04T19:10:04Z,3.201,65.535,74,1016.23,127,145,2023,8,4,2023-8-4,7.160432136,8.379382537311153,148
running,2023-08-04T19:15:12Z,2.403,65.535,75,740.37,127,129,2023,8,4,2023-8-4,5.3753572080000005,11.162048898016229,150
running,2023-08-04T19:20:33Z,3.173,65.535,74,1016.36,127,139,2023,8,4,2023-8-4,7.097797928,8.453326032755436,148
running,2023-08-04T19:24:46Z,2.608,65.535,75,661.25,127,131,2023,8,4,2023-8-4,5.8339290880000005,10.284663919452838,150
running,2023-08-04T19:30:04Z,3.172,65.535,74,1009.61,127,142,2023,8,4,2023-8-4,7.095560992,8.455991015741803,148
running,2023-08-04T19:34:01Z,1.944,65.535,59,460.01,127,129,2023,8,4,2023-8-4,4.348603584,13.797532665603395,118
running,2023-08-04T19:39:35Z,3.251,65.535,73,1085.62,127,137,2023,8,4,2023-8-4,7.272278936,8.25050861332913,146
running,2023-08-04T19:41:28Z,1.257,65.535,45,142.16,127,111,2023,8,4,2023-8-4,2.8118285519999997,21.338427606947498,90
running,2023-08-04T19:51:24Z,2.699,65.535,70,1609.34,127,133,2023,8,4,2023-8-4,6.037490264,9.93790422450278,140
running,2023-08-04T19:53:14Z,2.964,65.535,74,317.94,127,130,2023,8,4,2023-8-4,6.630278304,9.049393894039474,148
running,2023-08-05T21:09:49Z,2.644,65.535,75,1609.34,127,143,2023,8,5,2023-8-5,5.914458784000001,10.144630673953479,150
running,2023-08-05T21:19:31Z,2.66,65.535,74,1547.59,127,137,2023,8,5,2023-8-5,5.95024976,10.083610339072557,148
running,2023-08-05T21:24:50Z,3.745,65.535,79,1195.8,127,149,2023,8,5,2023-8-5,8.37732532,7.162190521210413,158
running,2023-08-05T21:34:18Z,2.834,65.535,74,1609.34,127,161,2023,8,5,2023-8-5,6.3394766240000004,9.46450370569266,148
running,2023-08-05T21:41:33Z,2.679,65.535,75,1108.57,127,150,2023,8,5,2023-8-5,5.992751544,10.01209537212878,150
cycling,2023-08-06T15:01:23Z,2.328,65.535,255,8046.72,127,146,2023,8,6,2023-8-6,5.207587008,11.521650988802836,510
